type,state,statecode,covid19Name,apiName,district
District,uttarakhand,UT,Champawat,champawat,champawat
District,mizoram,MZ,Champhai,champhai,champhai
District,uttar_pradesh,UP,Chandauli,chandauli,chandauli
District,manipur,MN,Chandel,chandel,chandel
District,chandigarh,CH,Chandigarh,chandigarh,chandigarh
District,maharashtra,MH,Chandrapur,chandrapur,chandrapur
District,arunachal_pradesh,AR,Changlang,changlang,changlang
District,assam,AS,Charaideo,sivasagar,sivasagar
District,haryana,HR,Charkhi Dadri,bhiwani,bhiwani
District,jharkhand,JH,Chatra,chatra,chatra
District,tamil_nadu,TN,Chengalpattu,kancheepuram,kancheepuram
District,tamil_nadu,TN,Chennai,chennai,chennai
District,madhya_pradesh,MP,Chhatarpur,chhatarpur,chhatarpur
District,madhya_pradesh,MP,Chhindwara,chhindwara,chhindwara
District,gujarat,GJ,Chhota Udaipur,chhota_udaipur,chhota_udaipur
District,karnataka,KA,Chikkaballapura,chikballapura,chikballapura
District,karnataka,KA,Chikkamagaluru,chikmagalur,chikmagalur
District,assam,AS,Chirang,chirang,chirang
District,karnataka,KA,Chitradurga,chitradurga,chitradurga
District,uttar_pradesh,UP,Chitrakoot,chitrakoot,chitrakoot
District,andhra_pradesh,AD,Chittoor,chittoor,chittoor
District,rajasthan,RJ,Chittorgarh,chittaurgarh,chittaurgarh
District,manipur,MN,Churachandpur,churachandpur,churachandpur
District,rajasthan,RJ,Churu,churu,churu
District,tamil_nadu,TN,Coimbatore,coimbatore,coimbatore
District,west_bengal,WB,Cooch Behar,koch_bihar,koch_bihar
District,tamil_nadu,TN,Cuddalore,cuddalore,cuddalore
District,odisha,OR,Cuttack,cuttack,cuttack
District,dadra_and_nagar_haveli,DN,Dadra and Nagar Haveli,dadra_and_nagar_haveli,dadra_and_nagar_haveli
District,gujarat,GJ,Dahod,dahod,dahod
District,chhattisgarh,CT,Dakshin Bastar Dantewada,dantewada,dantewada
District,west_bengal,WB,Dakshin Dinajpur,dakshin_dinajpur,dakshin_dinajpur
District,karnataka,KA,Dakshina Kannada,dakshina_kannada,dakshina_kannada
District,daman_and_diu,DD,Daman,daman,daman
District,madhya_pradesh,MP,Damoh,damoh,damoh
District,gujarat,GJ,Dang,the_dangs,the_dangs
District,bihar,BR,Darbhanga,darbhanga,darbhanga
District,west_bengal,WB,Darjeeling,darjiling,darjiling
District,assam,AS,Darrang,darrang,darrang
District,madhya_pradesh,MP,Datia,datia,datia
District,rajasthan,RJ,Dausa,dausa,dausa
District,karnataka,KA,Davanagere,davanagere,davanagere
District,odisha,OR,Dehradun,debagarh,debagarh
District,uttarakhand,UT,Deogarh,dehradun,dehradun
District,jharkhand,JH,Deoghar,deoghar,deoghar
District,uttar_pradesh,UP,Deoria,deoria,deoria
District,gujarat,GJ,Devbhumi Dwarka,devbhumi_dwarka,devbhumi_dwarka
District,madhya_pradesh,MP,Dewas,dewas,dewas
District,tripura,TR,Dhalai,dhalai,dhalai
District,chhattisgarh,CT,Dhamtari,dhamtari,dhamtari
District,jharkhand,JH,Dhanbad,dhanbad,dhanbad
District,madhya_pradesh,MP,Dhar,dhar,dhar
District,tamil_nadu,TN,Dharmapuri,dharmapuri,dharmapuri
District,karnataka,KA,Dharwad,dharwad,dharwad
District,rajasthan,RJ,Dhemaji,dhaulpur,dhaulpur
District,assam,AS,Dhenkanal,dhemaji,dhemaji
District,odisha,OR,Dholpur,dhenkanal,dhenkanal
District,assam,AS,Dhubri,dhubri,dhubri
District,maharashtra,MH,Dhule,dhule,dhule
District,assam,AS,Dibrugarh,dibrugarh,dibrugarh
